Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q24,Q25,Q26,Q27,Q29,Q30,Q31,Q32,Q34,Q35,Q36,Q37
4,Sad,3,3,4,Sad,4,4,5,Calm,5,5,5,Happy,3,4,4,Calm,2,5,5,Happy,5,5
5,Calm,2,4,5,Calm,3,4,5,Calm,3,5,4,Happy,2,3,5,Happy,4,5,5,Happy,5,6
4,Calm,3,4,5,Calm,3,4,5,Calm,3,4,4,Calm,3,4,5,Calm,2,4,4,Calm,2,4
5,Calm,2,4,4,Calm,1,4,4,Calm,1,3,3,Calm,1,3,4,Calm,1,4,4,Calm,1,5
4,Calm,2,4,5,Calm,5,5,4,Happy,2,4,4,Sad,2,4,3,Sad,2,4,4,Calm,2,4
3,Sad,5,4,3,Sad,5,5,5,Calm,2,3,5,Happy,3,5,3,Happy,2,3,5,Happy,3,5
5,Sad,4,5,6,Calm,6,6,5,Calm,4,5,6,Angry,3,6,7,Calm,7,7,6,Happy,6,6
4,Sad,3,3,5,Calm,5,4,5,Calm,4,4,3,Calm,3,3,4,Happy,3,4,3,Angry,2,2
5,Calm,4,4,5,Calm,5,4,5,Calm,4,4,3,Sad,3,4,4,Happy,3,5,3,Sad,5,4
5,Calm,5,5,5,Calm,6,6,5,Calm,4,4,5,Happy,4,5,4,Happy,3,4,4,Sad,2,4
5,Calm,5,6,5,Happy,4,5,6,Happy,5,5,3,Sad,3,3,4,Sad,3,3,4,Sad,3,3
3,Sad,5,4,3,Sad,2,2,4,Calm,2,4,5,Happy,3,5,4,Sad,1,3,4,Calm,5,4
4,Calm,5,5,5,Happy,4,6,5,Happy,3,4,4,Sad,2,6,5,Happy,5,5,3,Sad,6,6
6,Calm,6,7,7,Calm,6,7,6,Sad,5,6,5,Calm,5,4,5,Calm,3,5,5,Happy,4,6
4,Calm,2,4,4,Calm,3,5,3,Calm,3,4,5,Happy,5,5,5,Happy,5,5,5,Happy,5,5
5,Happy,5,5,4,Calm,4,4,5,Happy,4,4,4,Calm,3,3,4,Calm,3,3,4,Calm,3,3
5,Calm,5,5,5,Calm,5,6,5,Calm,6,6,5,Happy,4,5,5,Happy,5,5,5,Happy,5,5
5,Calm,3,4,4,Sad,4,4,5,Sad,5,5,5,Sad,3,5,5,Happy,3,5,4,Sad,3,5
4,Calm,3,4,6,Calm,5,6,3,Calm,3,5,5,Happy,3,5,3,Angry,2,3,3,Sad,5,5
7,Calm,5,6,5,Calm,5,6,6,Calm,6,5,5,Happy,5,6,4,Calm,4,5,7,Calm,5,7
5,Calm,6,5,6,Calm,6,6,6,Calm,4,5,6,Happy,5,5,6,Happy,5,5,6,Happy,6,6
4,Calm,5,4,6,Happy,5,5,5,Happy,5,5,4,Calm,4,4,4,Angry,4,4,5,Angry,5,3
4,Calm,4,4,6,Calm,6,6,6,Calm,5,6,4,Calm,5,4,6,Happy,5,5,4,Calm,4,4
6,Calm,6,6,6,Calm,6,7,6,Happy,6,6,5,Calm,3,5,6,Happy,6,6,6,Happy,6,6
4,Calm,3,4,4,Calm,4,4,5,Calm,5,5,5,Calm,4,4,4,Calm,4,4,5,Calm,5,5
5,Happy,3,4,5,Happy,2,5,5,Happy,5,5,3,Sad,3,5,5,Calm,3,5,3,Angry,1,3
4,Calm,3,4,4,Happy,3,4,4,Sad,5,3,5,Calm,4,5,5,Happy,5,5,5,Calm,4,5
5,Calm,5,4,3,Sad,6,2,3,Sad,5,3,4,Calm,4,3,3,Angry,5,3,3,Angry,5,2
4,Calm,1,4,5,Calm,2,4,6,Happy,3,4,3,Calm,4,4,5,Happy,3,4,3,Angry,2,3
4,Calm,2,3,4,Calm,2,3,5,Happy,3,4,4,Calm,4,3,4,Happy,2,2,5,Calm,3,4
5,Happy,5,5,6,Happy,6,6,7,Happy,7,7,5,Happy,5,5,7,Happy,6,7,3,Angry,4,4
5,Calm,5,5,5,Happy,3,5,6,Calm,5,5,4,Calm,4,5,5,Happy,3,5,5,Happy,3,6
5,Calm,5,5,5,Calm,5,5,5,Calm,5,5,5,Happy,5,5,4,Calm,3,4,5,Happy,5,5
5,Calm,5,5,5,Happy,5,6,6,Happy,5,6,6,Happy,5,6,5,Calm,4,5,5,Calm,5,6
4,Calm,2,4,4,Calm,3,4,5,Happy,4,6,4,Calm,4,5,4,Calm,4,5,5,Calm,4,6
6,Calm,6,7,5,Calm,5,5,5,Happy,6,5,5,Happy,3,2,5,Happy,2,3,5,Happy,2,3
